time,steps_j1,steps_j2,steps_j3,steps_j4,steps_j5,steps_j6
0.022480800000266754,0,0,-18,0,4,0
0.021450999999615306,0,0,-17,0,4,0
0.021002100000259816,0,0,-17,0,4,0
0.021525399999518413,0,1,-17,0,4,0
0.021417900000415102,0,1,-17,0,4,0
0.02293199999985518,0,1,-19,0,4,0
0.021956800000225485,0,1,-18,0,4,0
0.02196419999927457,0,1,-18,0,4,0
0.02149970000027679,0,1,-18,0,4,0
0.022406400000363647,0,1,-19,0,4,0
0.06589729999996052,0,0,18,0,-2,0
0.021260200000142504,0,0,18,0,-2,0
0.020750300000145216,0,0,18,0,-2,0
0.022895799999787414,0,0,19,0,-2,0
0.021955100000013772,0,0,18,0,-2,0
0.021466399999553687,0,0,18,0,-2,0
0.021051400000033027,0,0,17,0,-2,0
0.022901199999978417,0,0,19,0,-2,0
0.02094310000029509,0,0,17,0,-2,0
0.021080299999994168,0,0,17,0,-2,0
0.020399099999849568,0,0,17,0,-2,0
0.022444799999902898,0,0,18,0,-2,0
0.021960300000500865,0,0,18,0,-2,0
0.02144629999929748,0,0,17,0,-2,0
0.021479600000020582,0,0,17,0,-2,0
0.021936800000730727,0,0,17,0,-2,0
0.022421799999392533,0,0,18,0,-2,0
0.022510200000397163,0,0,18,0,-2,0
0.021480399999745714,0,0,17,0,-2,0
0.022016500000063388,0,0,17,0,-2,0
0.020987099999729253,0,0,16,0,-2,0
0.020925599999827682,0,0,16,0,-2,0
0.022194900000613416,0,0,17,0,-2,0
0.02020639999955165,0,0,16,0,-2,0
0.021528000000216707,0,0,16,0,-2,0
0.02250259999982518,0,0,17,0,-2,0
0.02146840000023076,0,0,16,0,-2,0
0.020858900000348513,0,0,16,0,-2,0
0.021977200000037556,0,0,16,0,-2,0
0.022919699999874865,0,0,17,0,-2,0
0.021519299999454233,0,0,16,0,-2,0
0.022447199999987788,0,0,17,0,-2,0
0.021488500000486965,0,0,16,0,-2,0
0.022488300000077288,0,0,16,0,-2,0
0.021348799999941548,0,0,16,0,-2,0
0.022041000000172062,0,0,16,0,-2,0
0.022245499999371532,0,0,16,0,-2,0
0.020723800000268966,0,0,15,0,-2,0
0.022903500000211352,0,0,16,0,-2,0
0.022026699999514676,0,0,16,0,-2,0
0.02097409999987576,0,0,15,0,-2,0
0.02147530000002007,0,0,15,0,-2,0
0.022911500000191154,0,0,16,1,-2,-1
0.020929700000124285,0,0,14,1,-2,-1
0.06602850000035687,0,0,-16,-1,4,1
0.02135909999924479,0,0,-16,-1,4,1
